hash,symbol,company,purpose,bm_desc,date
1f9fefd0a4f6e435d4423309b47f2dba,AARON,Aaron Industries Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-19
aae912512ad43cae1c018624e6002e3f,PIIND,PI Industries Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
5a1fdcedad41b8371df4370a092aefe1,PFIZER,Pfizer Limited,Financial Results/Dividend,"This is to inform that a meeting of the Board of Directors of the Company is scheduled to be held on Monday, May 19, 2025 inter alia, to consider, approve and take on record the Audited Financial Results of the Company for the quarter and Financial Year ended March 31, 2025 and to consider recommendation of dividend, if any, for the Financial Year ended March 31, 2025.",2025-05-19
724ebb5616c91bb78075e65fbcf1e1c1,PETRONET,Petronet LNG Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend.(i) audited financial results of the company for the quarter and year ended 31.03.2025(ii) recommendation of final dividend for the financial year 2024-25 on the equity shares of the company, if any, subject to approval of the shareholders in the ensuing Annual General Meeting.(iii) Closure of trading window from 01.04.2025 to 21.05.2025 (both days inclusive)",2025-05-19
d19efe7573c1fe0dacdb95352331d3a6,PASUPTAC,Pasupati Acrylon Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
61d67954b0a8b7838d8f306db88f2d03,NORTHARC,Northern Arc Capital Limited,Financial Results/Fund Raising,"To consider and approve the financial results for the period ended March 31, 2025 and Fund Raising by way of issue of debt securities through private placement",2025-05-19
4abc87c5d343f19b862175bd937146ba,NLCINDIA,NLC India Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-19
1d9b03dd4b3590cdad36fe8c02901350,PKTEA,The Peria Karamalai Tea & Produce Company Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
fa9fbf9a7794432d9762e5e618bb7ffd,NIACL,The New India Assurance Company Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-19
63248f76aed742943c42fb6cef7c5236,MOLDTKPAC,Mold-Tek Packaging Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
fe289c5d6359e6e79a9b149cf1b83052,MOBIKWIK,One Mobikwik Systems Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
97558fdef94e031f78e78aae486ef71b,MARKSANS,Marksans Pharma Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
d347974b785799178a3af07620749ab9,MALLCOM,Mallcom (India) Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-19
7a9bb40965a7050951c763dbb45c2d45,KSCL,Kaveri Seed Company Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
0ac3563ef4ddbe36cd4c1aca1bd06633,KILITCH,Kilitch Drugs (India) Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
3f798480c0bbe694a94ecda64f9087c8,NAVNETEDUL,Navneet Education Limited,Financial Results/Dividend,"1. consider, approve and take on record the Standalone and Consolidated Unaudited Financial Results of the Company for the quarter ended 31st March, 2025 and the Standalone and Consolidated Audited Financial Results of the Company for the financial year ended 31st March, 2025; and2. recommend dividend, if any, on the equity shares of the Company for the financial year ended 31st March, 2025.",2025-05-19
8aa0cf4bc9f64474023cbb3bf860899c,KDDL,KDDL Limited,Financial Results/Dividend,"A meeting of the Board of Directors of the Company is scheduled to be held on Monday,19th May, 2025, inter alia:1. To consider and approve Audited Financial Results (Standalone & Consolidated) of the Company for the quarter and year ended 31st March, 2025.2. To consider and recommend final dividend, if any, on the equity share capital of the Company for the financial year 2024-25.",2025-05-19
3ce1e9c4302065c075b80e9b6c8d7009,POWERGRID,Power Grid Corporation of India Limited,Financial Results/Dividend,"To consider and approve the audited Financial Results for Financial Year ended 31st March, 2025 and recommendation of Final Dividend, if any, for the FY 2024-25.",2025-05-19
559544f0332233013c733fa5b488f43b,QUESS,Quess Corp Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
423fc5a93a0d7b06805f8546599d10e8,ZYDUSWELL,Zydus Wellness Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
5c1494fdbaac7bac67b91c44ce1d6ecb,ZYDUSWELL,Zydus Wellness Limited,Stock Split,To consider stock split of equity shares,2025-05-19
fb49465ec29a09abe359a219d7ebb8f0,VHLTD,Viceroy Hotels Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
9a5081e8783ec4bf2983364912b2b1a6,SYNCOMF,Syncom Formulations (India) Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
8f41e20785d04ae4b9372b5e715277ef,SUNDROP,Sundrop Brands Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
5d040ade194d95d38a448c77a532817e,STEL,Stel Holdings Limited,Financial Results/Other business matters,"To consider and approve the Audited financial results for the period ended March 31, 2025 and other business matters",2025-05-19
dfca0904726f52f41f20c3dafd1b69ab,PRITIKAUTO,Pritika Auto Industries Limited,Financial Results,"Dear Sir/ Madam, Pursuant to regulation 29 and other applicable regulations, if any, of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 we inform you that a meeting of the Board of Directors of the Company will be held on Monday, the 19th May, 2025 at its Registered Office to consider and discuss inter-alia the following: 1. To consider and approve the Audited Financial Statement (Standalone and Consolidated) of the company for the Financial Year ended 31st March, 2025, after these are reviewed by the Audit Committee.2.    To consider and approve the Audited Financial Results (Standalone and Consolidated) of the company for the Quarter and Financial Year ended 31st March, 2025, Statement of Assets and Liabilities and Cash Flow Statement as on 31st March, 2025, as per Regulation 33 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 after these results are reviewed by the Audit Committee.Further to our notice dated 25th March, 2025, the Trading Window for dealing in the securities of the company will remain closed for the Promoters, Directors, Key Managerial Persons, Designated Persons of the company and their immediate relatives, till the expiry of forty eight hours from the date the said Financial Results are made public.The copy of notice is also available on company s website: www.pritikaautoindustries.com We request you to take the above on your records.",2025-05-19
2afdfa1c341ce6eab6e816a3ab9532d2,STEELXIND,STEEL EXCHANGE INDIA LIMITED,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
7fa382c317310d6c508a9204e1b43d6b,SPARC,Sun Pharma Advanced Research Company Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
344888a6317060d21a02b50737887b85,SOTL,Savita Oil Technologies Limited,Financial Results/Dividend,"To consider and approve the audited financial results for the quarter and year ended 31st March, 2025 and final dividend, if any",2025-05-19
e6470b0acd8b3930aac1897302d8a373,SEITINVIT,Sustainable Energy Infra Trust,Financial Results/Other business matters,"To consider the financials for the year ended March 31, 2025 and other business matters",2025-05-19
6784df624a2c0bec01ecdb80d68d10a9,RITCO,Ritco Logistics Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
29242790699ffb9f90c907ef83db2d4a,REPRO,Repro India Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
