hash,symbol,company,purpose,bm_desc,date
cbc2ee91437cbbb660630371da5777bb,RAILTEL,Railtel Corporation Of India Limited,Dividend,"To consider Final Dividend, if any",2025-06-15
d0b303e590e6a8e41790df03eef96e1b,BELRISE,Belrise Industries Limited,Financial Results,"To consider and approve the financial results for the quarter and year ended March 31, 2025",2025-06-16
1f2b5ef1d46219246883df3cdc95d77d,INDUSINVIT,Indus Infra Trust,Fund Raising,To consider Fund Raising by issuance of non-convertible debt securities,2025-06-16
c3114228cff21d3f7be356d8d9272392,RAMRAT,Ram Ratna Wires Limited,Financial Results,"To consider and approve the re-adoption of financial statements for the quarter and year ended on March 31, 2025 to give effect to the Scheme of Amalgamation.",2025-06-16
1b79b9ae319e8bb552709403390443fc,SMLT,Sarthak Metals Limited,Other business matters,"To consider and approve the following:1. To approve Directors Report along with its annexure for the financial year ended 31st March, 2025.2. To approve and fix the day, date, time and venue of the Thirtieth Annual General Meeting (AGM) and approve the notice of convening of 30th AGM for the financial year 2024-25.3. To approve record date for the purpose of Final Dividend as per the regulation 42 of the SEBI (Listing Obligations and Disclosure Requirement) Regulations, 2015.",2025-06-16
0ca4110134f763bb6e9d8d9aa1fdd93c,TANLA,Tanla Platforms Limited,Buyback,To consider the proposal for buyback for equity shares,2025-06-16
b8b1c5bf8bce91652251efa55e7d5532,VIPULLTD,Vipul Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-06-16
4cf24797e76ebf8d7c1b60a569b824d4,ZEEL,Zee Entertainment Enterprises Limited,Fund Raising,To consider Fund Raising,2025-06-16
9f41a7936768b5f512b013111356bb62,UGROCAP,Ugro Capital Limited,Fund Raising/Other business matters,Intimation of board meeting scheduled to be held on 20th June 2025,2025-06-17
489c93ab64531533d7e2b3085a0484c8,ORISSAMINE,The Orissa Minerals Development Company Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-06-17
f92098aa898e0e8a201b59cdee3ecd26,ORISSAMINE,The Orissa Minerals Development Company Limited,Financial Results,"ORISSAMINE : 17-Jun-2025 :  The Company has informed the Exchange that a Board meeting to be held on Jun 10, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 17, 2025,  To consider and approve the financial results for the period ended March 31, 2025",2025-06-17
4b8bdd3333dda06aeb3592387c7ef50f,LORDSCHLO,Lords Chloro Alkali Limited,Other business matters,To consider other business matters,2025-06-17
93d7f3f2e357a9ef1d59f2d8e013baf1,BALLARPUR,Ballarpur Industries Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2024",2025-06-17
5e02c45463f82fdb5168404af4d18723,DJML,DJ Mediaprint & Logistics Limited,Dividend/Other business matters,"Intimation of Board Meeting to be held on Wednesday, 18th June, 2025.Pursuant to Regulation 29 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 (the 'Listing Regulations').  We would like to inform you that, the Board Meeting of the Company scheduled to be held on Wednesday, 18th June, 2025 to consider interalia to:a. Recommend Final Dividend, if any, on the Equity Shares of the Company for the Financial Year 2024-25b. Consider matters relating to the ensuing Annual General Meeting.c. Other matters, if any.",2025-06-18
a76234fbbc48a36c53b2e1e5695d1813,HIGHWAYS,Highways Infrastructure Trust,Fund Raising,"Prior Intimation of the meeting of the Board of Directors of Highway Concessions One Private Limited (the  Investment Manager  of Highways Infrastructure Trust) scheduled to be held on Wednesday, June 18, 2025 to consider and approve, raising of funds through fresh issuance of non-convertible debt securities and commercial papers in one or more tranches/ series/ issuances/phases, subject to applicable laws and necessary approval from the regulatory/statutory authorities, as may be required.",2025-06-18
cca363733c582d11021a865163005974,TTL,T T Limited,Fund Raising,"Intimation of Board Meeting under Regulation 29 of SEBI (LODR) Regulations, 2015.",2025-06-18
a5f547485814e8107eaf7a6f498f5916,VEDL,Vedanta Limited,Dividend,"Intimation under Regulation 29 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",2025-06-18
